In Race Comment_,Predicted Sentiment_,Score_
"prominent on inside, pushed along over 2f out, weakened from over 1f out",Negative,0.383
"held up towards rear, headway over 2f out, soon hung left, stayed on from 1f out, went 2nd well inside final furlong, no impression on winner",Negative,0.373
"slowly away, held up towards rear, not much room over 2f out, kept on final 100 yards, never nearer",Negative,0.367
"tracked winner, ridden over 2f out, kept on in 2nd, no chance with winner",Negative,0.367
"slowly into stride, held up in rear, headway over 2f out, soon switched left, went 3rd over 1f out, no impression on winner, kept on",Negative,0.364
"held up in rear, not much room over 2f out, switched left and headway over 1f out, never on terms",Negative,0.349
"tracked leaders went 2nd over 2f out, ridden to lead 2f out, soon headed, rallied to lead again inside final furlong, stayed on well and in command towards finish",Negative,0.337
"soon led, headed over 4f out, lost place over 3f out, eased, tailed off",Negative,0.315
"raced in last trio inside, pushed along halfway, ridden over 1f out, kept on steadily towards finish, never going pace to threaten",Negative,0.312
"chased leaders inside, ridden over 1f out, ran on inside final furlong, led final strides",Negative,0.312
"held up rear of mid-division, some headway 3f out, modest 5th and well held over 1f out",Negative,0.307
"held up in rear on outside, wide final bend, well beaten from over 1f out",Negative,0.303
"chased leaders, ridden over 3f out, lost place over 2f out",Negative,0.298
"towards rear, dropped to last 12f out, good late headway out wide, never nearer",Negative,0.298
"outpaced in rear, pushed along halfway, went modest 5th over 1f out",Negative,0.298
"slowly into stride, held up in last pair, never involved",Negative,0.298
"steadied rear, never involved",Negative,0.298
never closer than mid-division,Negative,0.298
"chased leader until pushed along halfway, soon lost place",Negative,0.298
"wore hood to post, took keen hold, tracked leading pair, lost ground when ridden over 2f out, faded over 1f out",Negative,0.298
"held up in touch, effort and switched right over 1f out, ran on inside final furlong, went 2nd towards finish, just held",Negative,0.295
"led for 2f, tracked leader, led again 2f out, ridden over 1f out, headed final 110 yards, kept on same pace",Negative,0.261
"bumped start, chased leaders, lost place over 3f out, well beaten over 1f out,",Negative,0.257
"held up in mid-division, pushed along over 2f out, well beaten over 1f out",Negative,0.257
"held up towards rear of mid-division, well beaten over 1f out",Negative,0.257
"held up towards rear, well beaten over 1f out",Negative,0.257
"held up towards rear, headway from 3f out, ridden 1f out, wandered when led final 110 yards, soon asserted, won going away",Negative,0.249
"slowly into stride, held up off the pace towards rear, good headway out wide over 1f out, ran on under pressure inside final furlong, not quite pace to challenge",Negative,0.246
"prominent, pushed along over 2f out, soon ridden along, edged left inside final furlong, ran on",Negative,0.246
"steadied start, pulled hard towards rear, ran on far side of group inside final furlong, never going pace to get involved",Negative,0.246
"keen, chased leaders on inner, ridden along over 2f out, weakened over 1f out",Negative,0.244
"tracked leader near side rail, never on terms with main group in centre, weakened over 2f out",Negative,0.244
"tracked leader after 1f, led over 1f out, drew clear inside final furlong, easily",Negative,0.235
"held up in rear, smooth headway between horses 2f out, led over 1f out, ridden and pressed briefly inside final furlong, stayed on to assert final 110 yards, won going away",Negative,0.232
"dwelt slightly, soon rear of mid-division, switched right after 1f, 6th halfway, dropped to 8th over 3f out, progress over 1f out, improved to 5th final 150 yards, kept on same pace closing stages",Negative,0.232
"steadied and switched left start, always towards rear",Negative,0.221
"chased leader, pushed along over 2f out, not much room and lost place over 1f out",Negative,0.221
"towards rear, in touch in 7th when mistake and unseated rider 5th",Negative,0.221
"towards rear, switched right under 2f out, headway over 1f out, kept on final furlong, never on terms",Negative,0.203
"towards rear, slightly detached 3f out, moderate 10th under 2f out, kept on one pace over 1f out",Negative,0.191
"chased leaders out wide, ridden to lead inside final furlong, ran on and always doing enough",Negative,0.179
"in touch, 4th halfway, headway in 2nd under 3f out, led entering straight, headed over 2f out, no impression on leader 1 1/2f out, kept on same pace in moderate 2nd final 150 yards",Negative,0.176
"prominent, ridden over 2f out, led well inside final furlong, held on",Negative,0.173
"chased leaders on inner, not clear run when shaken up over 1f out, ridden and went second when in clear inside final furlong, kept on, not reach winner",Negative,0.165
"in touch, improved to lead narrowly entering straight, under pressure and headed 1f out, no impression on leader closing stages, kept on close home, held",Negative,0.165
"slowly into stride, mid-division, outpaced over 3f out, well beaten over 2f out",Negative,0.152
"in touch behind leaders, outpaced 4f out, well beaten over 2f out",Negative,0.152
"held up towards rear of mid-division, ridden over 2f out, well beaten over 1f out",Negative,0.152
"tracked leaders far side of group, weakened over 2f out",Negative,0.145
"rear of mid-division, 7th halfway, under pressure in 8th approaching straight, weakened under 2f out",Negative,0.145
"dwelt, raced in rear, progress in 8th 3f out, under pressure in 9th over 2f out, weakened 1 1/2f out",Negative,0.145
"bit awkward leaving stalls, raced in rear, 9th halfway, progress in 7th over 3f out, came wide entering straight, dropped to 9th 1f out, weakened in 8th closing stages",Negative,0.145
"dwelt slightly, raced in rear of mid-division, 4th halfway, dropped to 6th under 3f out, weakened over 1f out, moderate 5th close home",Negative,0.145
"close up, dropped to 5th halfway, lost place over 2f out, weakened over 1f out",Negative,0.145
"rear, 9th halfway, dropped to rear under 3f out, weakened over 2f out",Negative,0.145
"mid-division at best, not fluent 4th, moderate 5th halfway, not fluent 8th, pushed along after 3 out, weakened",Negative,0.145
"ran loose in paddock, started slowly and pushed along at times, off the pace and always towards rear",Negative,0.138
"made all, shaken up 2f out, ridden along over 1f out, faced sustained challenge inside final furlong, just prevailed",Negative,0.138
"tracked leader, 2nd halfway, took closer order under 3f out, led narrowly over 2f out, headed over 1f out, dropped to 3rd final 100 yards, one paced closing stages",Negative,0.138
"prominent early, tracked leaders, led over 2f out, clear inside final furlong, comfortably",Negative,0.129
"slowly into stride, early reminders in last pair, behind and struggling over 4f out, soon lost touch, tailed off",Negative,0.129
"slowly into stride, off the pace in mid-division, pushed along and struggling towards rear over 3f out",Negative,0.129
off the pace and always towards rear,Negative,0.129
off the pace and always towards rear,Negative,0.129
"slowly into stride and switched left start, held up in last pair, never involved",Negative,0.129
raced wide and never closer than mid-division,Negative,0.129
"restless and forced stall open, soon pulled up",Negative,0.129
"raced in rear in centre, headway near side of group over 1f out, went 3rd final strides, never any chance with very easy winner",Negative,0.129
"towards rear, 8th halfway, headway 2f out, improved to 5th over 1f out, kept on without threatening in 4th inside final furlong",Negative,0.118
"held up in rear, made good headway out wide over 4f out, went second over 3f out, pushed along over 2f out, soon ridden, lost second over 1f out, rallied strongly inside final furlong, led towards finish",Negative,0.111
"slowly into stride, soon chasing leaders, ridden over 2f out, went 2nd over 1f out, led inside final furlong, went clear and won easily int the end",Negative,0.111
"mid-division, well beaten final 3f",Negative,0.107
"held up in rear, well beaten final 3f",Negative,0.107
"fly leapt out of stalls and slow away, always in rear, well beaten over 1f out",Negative,0.107
"mounted in walkway, restless in stalls, held up in mid-division, smooth headway tracking leaders over 2f out, went 2nd 2f out, led going well approaching final furlong, clear soon after, always doing enough",Negative,0.107
"keen in last pair, never a factor",Negative,0.103
"slowly into stride, outpaced in rear, headway and hung left over 1f out, ran on inside final furlong, took never nearer 3rd post",Negative,0.102
"towards rear, shaken up 2f out, ridden and headway over 1f out, went third inside final furlong, ran on",Negative,0.102
"led, headed 2nd and tracked leader, disputed 9th, mistake and unseated rider next",Negative,0.096
"awkward leaving stalls and edged right, raced in rear, headway in 4th under 3f out, came wide entering straight, closed over 2f out, led narrowly over 1f out, headed closing stages, no impression on winner",Negative,0.095
"tracked winner in centre and 3rd overall, went 2nd over 2f out, no chance with very easy winner",Negative,0.090
"led at steady pace, headed halfway and tracked leader in 2nd after, ridden in 2nd 2f out, no impression over 1f out, stayed on to challenge inside final furlong and disputed final 100 yards, kept on well, led post",Negative,0.089
"slowly away, held up towards rear of mid-division, no impression final 3f, plugged on",Negative,0.088
"midfield on outer, pushed along over 2f out, no extra and faded over 1f out",Negative,0.088
"soon led, headed over 2f out, weakened from over 1f out",Negative,0.087
"led until over 2f out, weakened quickly",Negative,0.087
"took keen hold, in touch in mid-division, headway when not clear run over 1f out, kept on inside final furlong, went 2nd towards finish, no impression on winner",Negative,0.087
"tracked leader, soon led, reduced lead halfway, headed entering straight, lost place under 2f out, weakened over 1f out",Negative,0.087
"soon led, increased advantage after 3f, reduced lead under 3f out, headed over 2f out, lost place under 2f out, weakened in 5th over 1f out, dropped to moderate 6th close home",Negative,0.087
"held up towards rear, outpaced over 2f out, soon well beaten",Negative,0.085
"held up towards rear of mid-division, ridden over 3f out, hung left over 2f out, soon well beaten",Negative,0.085
"in rear, outpaced 4f out, driven 3f out, well beaten after",Negative,0.085
"mid-division, outpaced 3f out, weakened over 1f out",Negative,0.081
"chased leaders, ridden 3f out, weakened over 2f out",Negative,0.081
"tracked leaders, pushed along over 3f out, weakened soon after, tailed off",Negative,0.081
"dwelt, soon mid-division, 6th halfway, under pressure 2f out, weakened in moderate 6th over 1f out",Negative,0.081
"dwelt slightly, soon raced in mid-division, a little keen, 7th halfway, 8th over 4f out, dropped to 10th approaching straight, weakened over 2f out",Negative,0.081
"narrowly led early, pushed along 2f out, ridden when headed inside final 110 yards, not pace of leading pair towards finish",Negative,0.077
"slowly away, held up towards rear, pushed along over 2f out, some headway over 1f out, no impression",Negative,0.071
"mid-division, headway 8f out, went 2nd 4 out until 3f out, no impression over 1f out",Negative,0.071
"midfield, bit short of room over 2f out, switched right and ridden over 1f out, never dangerous",Negative,0.071
"rear of mid-division, dropped to 12th over 3f out, some progress over 1f out, no impression closing stages",Negative,0.071
"soon mid-division, 4th halfway, closed in 3rd over 4f out, improved to 2nd 2f out, dropped to 3rd over 1f out, one paced final 100 yards",Negative,0.071
"held up in rear, switched right and headway over 1f out, went 4th well inside final furlong, kept on",Negative,0.068
"slowly away, off the pace in last trio, headway out wide over 1f out, kept on steadily inside final furlong, improve",Negative,0.065
"off the pace in last trio, headway inside final furlong, kept on into modest 4th towards finish",Negative,0.065
"in rear, modest headway 2f out, outpaced by leading quartet final furlong, kept on",Negative,0.065
"held up towards rear, good headway between horses over 1f out, went 2nd inside final furlong, kept on towards finish, not pace to challenge",Negative,0.065
"dwelt slightly, raced towards rear, 8th halfway, 9th over 3f out, headway under 2f out, rider lost cap 1 1/2f out, effort in 4th over 1f out, kept on same pace final furlong",Negative,0.065
"in touch, 3rd halfway, dropped to 4th over 2f out, kept on same pace in moderate 4th inside final furlong",Negative,0.065
"midfield, some headway final furlong, never on terms",Negative,0.061
"steadied start, held up in rear, went moderate 5th inside final furlong, closed on 4th, never involved",Negative,0.061
"held up in rear, outpaced 3f out, well beaten final 2f",Negative,0.059
"soon towards rear, pushed along 7f out, well beaten final 4f",Negative,0.059
"slowly into stride, off the pace in last trio, never a factor",Negative,0.056
"off the pace towards rear, never a factor",Negative,0.056
"raced keenly tracking leaders, weakened inside final 2f",Negative,0.056
"in touch, niggled along in 5th 3 1/2f out, lost place and under pressure over 2f out, weakened under 2f out",Negative,0.056
"mid-division, dropped to rear and reminder after 3f, slightly detached 3f out, weakened 2f out",Negative,0.056
"mid-division, dropped to 10th and under pressure over 3f out, weakened in rear over 2f out",Negative,0.056
"in touch towards rear, pushed along and dropped to rear 6f out, weakened 3f out, pulled up over 1f out",Negative,0.056
"raced very freely, prominent, led over 1f out, headed well inside final furlong, lost 2nd towards finish",Negative,0.054
"held up towards rear of mid-division, not clear run closing over 2f out, not clear run and switched left over 1f out, led inside final furlong, headed towards finish",Negative,0.052
"raced keenly in close 3rd, went 2nd over 2f out, lost 2nd over 1f out, ridden and kept on same pace in 3rd, no chance with leading duo",Negative,0.052
"wore hood to post, took keen hold, slowly into stride, soon recovered and led, joined over 2f out, ridden and headed rounding home turn, hung left over 1f out, plugged on, lost second post",Negative,0.052
"raced in second, pressed leader halfway, narrowly led 2f out, ridden when headed inside final 110 yards, no chance with winner towards finish",Negative,0.052
"held up in mid-division inside, pushed along halfway, soon chasing leaders, badly hampered inside final 2f, no chance after, virtually pulled up over 1f out",Negative,0.049
"slowly away, never going well and always well in rear, never a factor, tailed off",Negative,0.048
"tracked leader in 2nd, closed halfway, led narrowly over 2f out, under pressure and headed 1 1/2f out, kept on final furlong, held",Negative,0.048
"led, headed 1f out, no impression on winner inside final furlong, kept on",Negative,0.047
"chased leaders out wide, pushed along halfway, ridden 2f out, weakened soon after",Negative,0.044
"taken down early wearing hood, took keen hold in behind leaders, shaken up over 2f out, soon ridden, weakened over 1f out",Negative,0.044
"chased leaders near side of group, kept on inside final furlong, took 2nd final stride, held",Negative,0.044
"close 3rd far side of group until halfway, weakened quickly",Negative,0.044
"in touch with leaders near side of group, pushed along over 2f out, weakened quickly, tailed off",Negative,0.044
"in touch, 7th halfway, headway over 1f out, 4th inside final furlong, kept on, dropped to 5th final stride",Negative,0.044
"prominent, closed in 2nd halfway, lost place 2f out, soon weakened",Negative,0.044
"broke well to lead, increased advantage before halfway, reduced lead 5f out, headed entering straight, no impression in 3rd 1 1/2f out, kept on same pace in moderate 3rd final 150 yards",Negative,0.042
"never going well and always off the pace towards rear, behind final 2f, tailed off",Negative,0.040
"slowly into stride, towards rear, ridden 5f out, some headway over 1f out, no impression",Negative,0.038
"tracked leaders inside, ridden and outpaced in 3rd over 2f out, weakening when slightly hampered over 1f out",Negative,0.038
"got head down in stalls, went left start, off the pace in last pair, no impression when hung left over 1f out",Negative,0.038
"towards rear inside, closer in mid-division 5f out, pushed along 3f out, ridden and hung left over 1f out, never threatened",Negative,0.038
"pressed leader, ridden to lead over 1f out, headed final strides",Negative,0.038
"held up in mid-division, outpaced over 2f out, no impression after",Negative,0.038
"mid-division, 6th halfway, dropped to 7th 2f out, no impression in 6th 1f out, one paced in 5th closing stages",Negative,0.038
"towards rear, 8th halfway, 6th 7f out, headway approaching straight, improved to lead over 1f out, kept on final furlong, strongly pressed close home, headed final stride",Negative,0.038
"held up in touch, 5th halfway, pushed along after 3 out, ridden in 6th before 2 out, no extra",Negative,0.038
"towards rear, 8th when pushed along 5 out, ridden after 3 out, no extra",Negative,0.038
"held up in touch, took keen hold, rapid headway to lead halfway, headed over 3f out, pushed along in 3rd 2f out, no extra",Negative,0.038
"held up in touch, 4th halfway, pushed along 4f out, ridden in 6th 2f out no extra",Negative,0.038
"led briefly, tracked leader, steadied 3rd over 8f out, went 2nd again 2f out, ridden to lead inside final furlong, always doing enough",Negative,0.036
"prominent, took keen hold, led over 1f out, headed inside final furlong, lost 2nd towards finish",Negative,0.036
"held up towards rear, driven over 2f out, kept on final furlong, never dangerous",Negative,0.035
"slowly into stride, keen in rear, ridden along over 1f out, kept on same pace inside final furlong",Negative,0.035
"raced in 3rd in centre, no chance with very easy winner and lost 3rd final strides",Negative,0.033
"reluctant loading, raced wide in mid-division, headway tracking leaders 5f out, plugged on final furlong, never going pace to get involved",Negative,0.032
"led, soon headed, 3rd halfway, 4th 7f out, progress in 3rd over 4f out, lost place and under pressure entering straight, weakened 1 1/2f out",Negative,0.032
"tracked leaders inside, pushed along over 2f out, ridden inside final 2f, weakened over 1f out",Negative,0.030
"pulled hard, soon tracking leaders inside, pushed along and lost 3rd 3f out, weakened over 2f out",Negative,0.030
"held up towards rear, ridden and good headway out wide over 1f out, ran on inside final furlong, never going pace to reach leaders",Negative,0.030
"soon outpaced in rear, never a factor",Negative,0.030
"chased leaders, ridden over 1f out, weakened inside final furlng",Negative,0.030
"held up in last but in touch, rapid headway to dispute 2f out, outpaced by leading pair final 110 yards, weakened towards finish",Negative,0.030
"disputed, a little keen, slow and headed 2nd, raced in 2nd after, pushed along in moderate 3rd after 3 out, moderate 4th 2 out, weakened",Negative,0.030
"broke well to lead, soon headed, 5th halfway, switched left under 2f out, progress in 3rd inside final furlong, kept on closing stages, never nearer",Negative,0.029
"tracked leader inside, led 6f out, ridden and headed 2f out, lost 2nd over 1f out, no chance with leading duo, lost 3rd post",Negative,0.028
"prominent, chased leaders 3f out, ridden 2f out, soon held, kept on but no impression final 110 yards",Negative,0.028
"held up towards rear, headway over 1f out, went 4th well inside final furlong, never dangerous",Negative,0.027
"chased leaders, pushed along over 2f out, no extra inside final 100 yards",Negative,0.026
"hampered start, held up in rear, headway and hung right over 1f out, went 3rd over 1f out, no impression",Negative,0.026
"slowly into stride, soon chasing leaders, closed final bend, led over 1f out, clear inside final furlong, comfortably",Negative,0.026
"midfield, chased leaders over 2f out, ridden to go third 1f out, outpaced and dropped to fifth final 50 yards",Negative,0.026
"led in centre, clear halfway until reduced lead 2f out, headed approaching final furlong, no chance with winner when lost 2nd post",Negative,0.026
"towards rear, 11th halfway, slightly detached and niggled along 6f out, no impression in moderate 10th 1 1/2f out, modest late headway",Negative,0.026
"in touch, 4th halfway, 3rd 7f out, 4th over 4f out, took closer order over 2f out, closed 1 1/2f out, 2nd 1f out, dropped to 3rd closing stages, no extra and lost 3rd close home",Negative,0.026
"chased leader, led over 4f out, clear 3f out, hung right 2f out, headed over 1f out, no impression on winner inside final furlong",Negative,0.025
"close 3rd far side of group, weakened inside final furlong, just held on for 4th",Negative,0.025
"held up towards rear, headway over 2f out, went 3rd and edged left over 1f out, kept on same pace inside final furlong",Negative,0.024
"raced wide towards rear, headway out wide and ridden over 1f out, kept on inside final furlong, just missed modest 3rd",Negative,0.024
"held up in mid-division, headway chasing leaders inside final 2f, kept on same pace inside final furlong, lost modest 4th towards finish",Negative,0.024
"in touch in mid-division, not much room before switched right and headway over 1f out, rider soon dropped whip, went 3rd inside final furlong, kept on",Negative,0.024
"held up towards rear, headway far side of group over 1f out, went 3rd inside final furlong, kept on same pace, no chance with winner",Negative,0.024
"broke well to lead, soon headed and raced in mid-division, 5th halfway, under pressure 2f out, weakened in 6th over 1f out",Negative,0.024
"held up in mid-division, outpaced over 2f out, soon weakened",Negative,0.023
"held up in rear, outpaced 3f out, soon ridden, weakened from 2f out",Negative,0.023
"raced keenly far side of group in mid-division, pushed along over 2f out, weakened quickly soon after",Negative,0.023
"prominent, soon pushed along to lead, reduced advantage halfway, headed over 2f out, soon 3rd, weakened in 4th under 2f out",Negative,0.023
"soon led, headed over 2f out, no impression on leader inside final furlong, dropped to 3rd closing stages, lost 3rd on line",Negative,0.023
"towards rear, progress in 9th over 3f out, no impression on outer 1 1/2f out, kept on same pace final furlong",Negative,0.023
"in touch and pushed along early, 5th halfway, lost place and under pressure 7f out, dropped towards rear 4f out, weakened 2f out",Negative,0.020
"mid-division, pushed along out wide over 2f out, ridden inside final 2f, headway and stayed on same pace inside final furlong, never going pace to get involved",Negative,0.019
"held up off the pace in mid-division, ridden and headway 2f out, kept on inside final, took modest 3rd final stride",Negative,0.019
"in touch behind leaders, ridden 2f out, wakened inside final furlong",Negative,0.017
"held up in 4th, headway chasing leaders halfway, went 2nd inside final 2f, hung left and led over 1f out, clear inside final furlong, eased towards finish",Negative,0.017
"led, ridden and headed 2f out, chased leaders, weakened over 1f out",Negative,0.017
"off the pace towards rear inside, pushed along halfway, moderate headway inside final furlong",Negative,0.017
"led trio near side rail, 2nd overall until ridden and weakened over 2f out",Negative,0.017
"tracked leader, pushed along and lost 2nd halfway, weakened quickly",Negative,0.016
"raced wide in mid-division, headway went 2nd chasing leaders over 1f out, kept on inside final furlong, went 2nd final 110 yards and closed, not reach winner",Negative,0.016
"soon raced in third, went second home turn, ridden 2f out, lost second final 110 yards, weakened towards finish",Negative,0.016
"chased leader, pushed along over 2f out, soon lost 2nd and weakened",Negative,0.016
"pressed leader, pushed along and lost 2nd over 2f out, weakened quickly",Negative,0.016
"tracked leader, 2nd halfway, took closer order 5f out, closed 4f out, dropped to 3rd under 3f out, soon under pressure, lost place and weakened over 2f out",Negative,0.016
"led, took keen hold, headed after 5th, disputed halfway, led again 3 out, pushed along and headed when not fluent 2 out, ridden in 4th before last, no extra",Negative,0.016
"towards rear, pushed along over 2f out, ridden and made no impression from over 1f out",Negative,0.015
"in rear, ridden to make some headway 3f out, outpaced 2f out, ridden 1f out, kept on but no impression final 110 yards",Negative,0.015
"prominent, ridden over 2f out, no extra final 100 yards",Negative,0.014
"held up in mid-division, made good headway over 2f out, ridden and made sustained challenge inside final furlong, just denied",Negative,0.014
"front rank, pushed along over 2f out, ridden along rounding home turn, no extra and faded over 1f out",Negative,0.014
"in touch, a little keen, not fluent 4th, 5th when not fluent 3 out, pushed along and dropped to rear before 2 out, ridden after 2 out, no extra",Negative,0.014
"tracked leaders, took keen hold, not fluent 1st, soon raced in 3rd, mistake 2nd, slight mistake 6th, pushed along in moderate 2nd after 3 out, mistake and went left 2 out, no extra, dropped to moderate 3rd after last",Negative,0.014
"led, ridden over 1f out, kept on inside final furlong, headed final strides",Negative,0.013
"raced keenly, led in centre, ridden over 1f out, headed inside final furlong, kept on same pace, no chance with winner",Negative,0.013
"steadied start, held up in rear, headway over 1f out, went 3rd inside final furlong, no impression, kept on",Negative,0.012
"slowly into stride, held up in last trio, headway out wide 2f out, hung left and ridden over 1f out, kept on same pace inside final furlong",Negative,0.012
"led, soon went three lengths clear, quickened 3f out, ridden and wandered 1f out, headed final 110 yards, no chance with winner towards finish",Negative,0.012
"missed break, raced in rear, soon slightly detached, niggled along before halfway, detached entering straight, weakened over 2f out, never a factor",Negative,0.012
"always towards rear, never a factor, pushed along when not fluent 5th, off pace halfway, weakened 3 out, tailed off",Negative,0.012
"always towards rear, never a factor, off pace halfway, pushed along after 3 out, weakened, tailed off",Negative,0.012
"chased winner until driven and edged left over 1f out, one pace",Negative,0.011
"mid-division, headway on inside over 2f out, 3rd over 1f out, no impression inside final furlong",Negative,0.011
"raced in 3rd near side rail, pushed along and struggling in rear inside final 3f, weakened soon after",Negative,0.011
"mid-division far side of group, pushed along over 2f out, hung left and weakened inside final 2f",Negative,0.011
"soon tracked leader on outer, 2nd halfway, led narrowly after halfway, increased advantage 6f out, reduced lead under 3f out, headed over 1f out, dropped to 4th and weakened final 100 yards",Negative,0.011
